id,agent_name,timestamp,prefix,payload_summary,deactivated
109,,2026-06-11T12:37:08.404270,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
110,          ,2026-06-11T12:37:09.020197,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
111,!@#$%^&*()Agent,2026-06-11T12:37:09.328012,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
112,'; DROP TABLE Agent; --,2026-06-11T12:37:09.528798,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
113,<script>alert('xss')</script>,2026-06-11T12:37:09.743130,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
114,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,2026-06-11T12:37:09.938988,,Created via API with prefix=255AGT,False
115,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,2026-06-11T12:37:10.150154,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
116,InvEmailAGT_20260611123710_f0b2be37,2026-06-11T12:37:10.351651,InvEmailAGT,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
117,InvPhoneAGT_20260611123710_fab344ec,2026-06-11T12:37:10.539962,InvPhoneAGT,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
118,InvIFSAGT_20260611123710_16a76f34,2026-06-11T12:37:10.743316,InvIFSAGT,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
119,DupAGT_20260611123710_10a7acea,2026-06-11T12:37:10.963149,DupAGT,Created via API with prefix=DupAGT,False
120,,2026-06-11T12:37:11.143886,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
121,EditInvEmail_20260611123711_e89e8234,2026-06-11T12:37:11.332609,EditInvEmail,Created via API with prefix=EditInvEmail,False
