id,company_name,timestamp,prefix,payload_summary,deactivated
88,          ,2026-06-10T19:08:10.497458,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
89,Test@#Traders&Co!,2026-06-10T19:08:10.968765,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
90,'; DROP TABLE suppliers; --,2026-06-10T19:08:11.218470,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
91,<script>alert('xss')</script>,2026-06-10T19:08:11.435261,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
92,255Sup_20260610190811_273,2026-06-10T19:08:11.738782,255Sup,Created via API with prefix=255Sup,False
93,DupCoSup_20260610190812_597,2026-06-10T19:08:12.751222,DupCoSup,Created via API with prefix=DupCoSup,False
94,DupCoSup_20260610190812_597,2026-06-10T19:08:13.058981,DupCoSup,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
95,DupEmailSup_20260610190813_143,2026-06-10T19:08:13.365130,DupEmailSup,Created via API with prefix=DupEmailSup,False
96,DupEmailSup2_20260610190813_508,2026-06-10T19:08:13.675331,DupEmailSup2,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
97,DupPhoneSup_20260610190813_359,2026-06-10T19:08:13.988301,DupPhoneSup,Created via API with prefix=DupPhoneSup,False
98,DupPhoneSup2_20260610190813_534,2026-06-10T19:08:14.294001,DupPhoneSup2,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
99,EditEmailSup_20260610190814_707,2026-06-10T19:08:14.509418,EditEmailSup,Created via API with prefix=EditEmailSup,False
100,HybridCreate_20260610190829_260,2026-06-10T19:08:30.159072,HybridCreate,Created via API with prefix=HybridCreate,False
101,SearchExact_20260610190838_862,2026-06-10T19:08:38.564229,SearchExact,Created via API with prefix=SearchExact,False
102,SearchPartial_20260610190847_497,2026-06-10T19:08:47.258539,SearchPartial,Created via API with prefix=SearchPartial,False
103,SearchCase_20260610190855_617,2026-06-10T19:08:56.065688,SearchCase,Created via API with prefix=SearchCase,False
104,ViewRO_20260610190904_425,2026-06-10T19:09:04.435533,ViewRO,Created via API with prefix=ViewRO,False
105,EditPrepop_20260610190921_819,2026-06-10T19:09:21.257505,EditPrepop,Created via API with prefix=EditPrepop,False
106,EditSpecCh_20260610191005_565,2026-06-10T19:10:05.596709,EditSpecCh,Created via API with prefix=EditSpecCh,False
